Dateiname,Originalgröße (Bytes),Kodierte Größe (Bytes),Kodierungszeit (ms),Dekodierungszeit (ms)
ad_vl.pdf,406458,488419,4077,4800
List.use,1961,1073,11,33
shakespeare.txt,1665,1089,12,34
bewerbung.docx,199926,242485,2076,2319
7zip.exe,1110476,1361099,11749,13836
